window_id,dataset,P0_zero,P1_temporal_neighbour,P2_frequency_neighbour
f1:JNU:jnu_n800_3_2:B:acc_vertical:train:425300-475300,JNU,0.4508510423082736,0.7784416105280006,0.7739071796314009
f1:JNU:jnu_ob1000_2:B:acc_vertical:train:125100-175100,JNU,2.999245322341396,2.2836875924147577,1.0489504919092194
f1:JNU:jnu_ob600_2:B:acc_vertical:train:125100-175100,JNU,1.2101847729447446,1.876760543661112,0.6804480454037086
f1:JNU:jnu_ob800_2:B:acc_vertical:train:125100-175100,JNU,2.461222813786326,0.894913483304735,0.9094183531273313
f1:JNU:jnu_tb1000_2:B:acc_vertical:train:125100-175100,JNU,2.7765459814816142,3.0649565371438268,1.2575574289849942
f1:JNU:jnu_tb600_2:B:acc_vertical:train:125100-175100,JNU,1.0720213304355337,1.6181560568472,0.6124557788007178
f1:JNU:jnu_tb800_2:B:acc_vertical:train:125100-175100,JNU,1.1178880015150847,2.1696188761683937,0.7141245807093354
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,1.0771477408235253,0.5248629645164247,0.764129340009744
f1:MAFAULDA:mafaulda_horizontal-misalignment_0.5mm_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.5246615863543078,0.8268485908814057,0.9717117371852646
f1:MAFAULDA:mafaulda_horizontal-misalignment_1.5mm_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,0.9030408217639727,0.9537088129972234,1.2120803223850505
f1:MAFAULDA:mafaulda_imbalance_15g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,0.7880981451635379,0.6121703605195942,0.6781075598759229
f1:MAFAULDA:mafaulda_imbalance_30g_34.816:col3_underhang_radial:train:100000-150000,MAFAULDA,0.5667965036809154,0.9511625105039945,0.7936124026886077
f1:MAFAULDA:mafaulda_imbalance_6g_62.0544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.6352839144137885,0.9665589193000477,1.0632108732289975
f1:MAFAULDA:mafaulda_normal_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,0.8252708520296429,0.548047289811367,0.6233363721732068
f1:MAFAULDA:mafaulda_normal_36.4544:col3_underhang_radial:train:100000-150000,MAFAULDA,0.5467778988794718,0.7507738310821375,0.8024213482846093
f1:MAFAULDA:mafaulda_normal_61.44:col3_underhang_radial:train:100000-150000,MAFAULDA,0.5711971747216017,0.8837896866944724,1.0249809077562848
f1:MAFAULDA:mafaulda_overhang_ball_fault_35g_12.288:col3_underhang_radial:train:100000-150000,MAFAULDA,1.19265296341334,0.7915830890798363,1.0658781139869447
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_24.7808:col3_underhang_radial:train:100000-150000,MAFAULDA,3.0856451407254184,1.1793773790550965,1.5647716700286098
f1:MAFAULDA:mafaulda_overhang_ball_fault_6g_55.296:col3_underhang_radial:train:100000-150000,MAFAULDA,23.406584747605,3.484723962822745,4.350013994505887
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,1.2179544326769116,0.34340704424703805,0.38579311420080475
f1:MAFAULDA:mafaulda_overhang_cage_fault_20g_58.368:col3_underhang_radial:train:100000-150000,MAFAULDA,1.273118201356914,1.0661841470605986,1.2556977786893349
f1:MAFAULDA:mafaulda_overhang_cage_fault_35g_54.0672:col3_underhang_radial:train:100000-150000,MAFAULDA,1.364792886102614,1.1635615111729214,1.4401738125277503
f1:MAFAULDA:mafaulda_overhang_outer_race_35g_13.7216:col3_underhang_radial:train:100000-150000,MAFAULDA,1.0413931808529229,0.4167168084815488,0.4332587934243294
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_17.6128:col3_underhang_radial:train:100000-150000,MAFAULDA,1.004411448723884,0.4073958727242476,0.4379855465805873
f1:MAFAULDA:mafaulda_overhang_outer_race_6g_61.8496:col3_underhang_radial:train:100000-150000,MAFAULDA,1.0498564892581377,1.0357370942471313,1.209024775193548
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_13.1072:col3_underhang_radial:train:100000-150000,MAFAULDA,0.7398457272685147,0.6199292950801774,0.7251389346124532
f1:MAFAULDA:mafaulda_underhang_ball_fault_0g_56.5248:col3_underhang_radial:train:100000-150000,MAFAULDA,1.9070529363057949,1.162332615154167,1.3867848941670669
f1:MAFAULDA:mafaulda_underhang_ball_fault_35g_50.7904:col3_underhang_radial:train:100000-150000,MAFAULDA,4.165997796817462,1.528790350165877,1.8158524961711642
f1:MAFAULDA:mafaulda_underhang_cage_fault_35g_13.312:col3_underhang_radial:train:100000-150000,MAFAULDA,0.7781600062773433,0.5615261286839366,0.6188248801508902
f1:MAFAULDA:mafaulda_underhang_cage_fault_6g_16.1792:col3_underhang_radial:train:100000-150000,MAFAULDA,0.7680363276037522,0.5254522586218485,0.5521081908940246
