model,fold,seed,dataset,device,mean_ms,sd_ms,median_ms,p95_ms,windows_per_second,peak_cuda_memory_mb
K1,2,42,HIT,cuda,4.183892990112304,0.0444288274565843,4.169391870498657,4.270028972625733,239.01184909921847,21.15087890625
K1,2,42,MAFAULDA,cuda,4.204792761802674,0.06490997968341704,4.1787519454956055,4.328601431846619,237.82384927129706,28.564453125
Full S1,2,1337,CWRU,cuda,7.522431926727295,0.12131385462521331,7.49233603477478,7.8348096132278435,132.9357327178977,33.228515625
Full S1,2,1337,JNU,cuda,7.7461599245071415,0.07243990047363386,7.734992027282715,7.860048127174378,129.09622441904673,33.5625
Full S1,2,1337,HIT,cuda,7.7474084453582766,0.07576851076357706,7.735183954238892,7.886620712280274,129.0754201295702,25.58642578125
Full S1,2,1337,MAFAULDA,cuda,7.763281148910522,0.11037149602916915,7.740416049957275,7.912732887268066,128.81151420624994,33.5625
K1,2,1337,CWRU,cuda,4.0743779315948485,0.05788367817857628,4.054096221923828,4.172836899757385,245.43624003200077,28.2783203125
K1,2,1337,JNU,cuda,4.181343686103821,0.05223043772710186,4.161360025405884,4.281427097320557,239.15757112321967,28.564453125
K1,2,1337,HIT,cuda,4.186950910568237,0.06516560421519188,4.160207986831665,4.310791873931885,238.837287887926,21.15087890625
K1,2,1337,MAFAULDA,cuda,4.195858503341674,0.062189205621505844,4.172367811203003,4.303966498374939,238.3302485542775,28.564453125
Full S1,2,2026,CWRU,cuda,7.475038590431214,0.08245733639767981,7.46068811416626,7.605503964424133,133.77857356885067,33.228515625
Full S1,2,2026,JNU,cuda,7.755514422416687,0.11456311165541253,7.73636794090271,7.931462240219115,128.9405119420036,33.5625
Full S1,2,2026,HIT,cuda,7.7581395292282105,0.11201977456838441,7.73529577255249,7.9959726333618155,128.89688258796775,25.58642578125
Full S1,2,2026,MAFAULDA,cuda,7.736894721031189,0.085059530053402,7.723360061645508,7.8515199422836295,129.25082168711714,33.5625
K1,2,2026,CWRU,cuda,4.059079937458038,0.04906752142416747,4.041536092758179,4.1524015188217165,246.36124821583113,28.2783203125
K1,2,2026,JNU,cuda,4.1738991374969485,0.04991563998899783,4.1552159786224365,4.281619191169739,239.58413154173425,28.564453125
K1,2,2026,HIT,cuda,4.193805890083313,0.07893717255824044,4.174207925796509,4.297763252258301,238.44689673515964,21.15087890625
K1,2,2026,MAFAULDA,cuda,4.1936550989151,0.06433974375602051,4.168816089630127,4.3277326107025145,238.4554705652118,28.564453125
Full S1,3,42,CWRU,cuda,7.462729662895202,0.08870087314487562,7.44486403465271,7.5779233217239375,133.99922617752244,33.228515625
Full S1,3,42,JNU,cuda,7.722181882858276,0.09360192948412953,7.699792146682739,7.869350409507751,129.49707934486796,33.5625
Full S1,3,42,HIT,cuda,7.738104716300964,0.11338807742545884,7.706543922424316,7.91060471534729,129.2306109393191,25.58642578125
Full S1,3,42,MAFAULDA,cuda,7.73812894821167,0.12611871076951747,7.700527906417847,8.070955038070679,129.23020625433054,33.5625
K1,3,42,CWRU,cuda,4.083613829135895,0.08448860597189982,4.04582405090332,4.25883846282959,244.88113760051672,28.2783203125
K1,3,42,JNU,cuda,4.179489602088928,0.04286350105492165,4.1620800495147705,4.267326235771179,239.26366499397326,28.564453125
K1,3,42,HIT,cuda,4.187364742279053,0.0498405884591891,4.168704032897949,4.286515402793884,238.8136839151325,21.15087890625
K1,3,42,MAFAULDA,cuda,4.190223806381225,0.0419291995881449,4.174816131591797,4.281543946266174,238.65073709836594,28.564453125
Full S1,3,1337,CWRU,cuda,7.4473205738067625,0.05705828061505688,7.429839849472046,7.547966408729553,134.27648106315388,33.228515625
Full S1,3,1337,JNU,cuda,7.7130773105621335,0.07325908646409593,7.696176052093506,7.796943783760071,129.6499386348196,33.5625
Full S1,3,1337,HIT,cuda,7.697727372169495,0.06118328961343526,7.6846559047698975,7.782415819168091,129.90847189722754,25.58642578125
Full S1,3,1337,MAFAULDA,cuda,7.708893124580383,0.04746309632252046,7.700592041015625,7.770569586753845,129.7203092375772,33.5625
K1,3,1337,CWRU,cuda,4.046145342350006,0.03481625722268967,4.039519786834717,4.0978960514068605,247.14880840617525,28.2783203125
K1,3,1337,JNU,cuda,4.1637080345153805,0.021421610337022112,4.160559892654419,4.206947231292725,240.17053830634197,28.564453125
K1,3,1337,HIT,cuda,4.161633419036865,0.06616087774033821,4.143088102340698,4.346806263923645,240.2902656984699,21.15087890625
