arm,fold,seed,dataset,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,n,macro_auc_ovr,weighted_auc_ovr,micro_auc_ovr,macro_auc_ovo
S1,1,1337,HIT,0.9535714285714286,0.9583333333333334,0.9653333333333332,0.9583333333333334,0.9598449655769932,0.9584,0.9535714285714286,0.953615760494194,280,1.0,1.0,0.9982334183673469,1.0
S1,1,1337,MaFaulDa,0.9310961968680088,0.934572297003908,0.9019332653807745,0.934572297003908,0.9014280554690852,0.9452565691279996,0.9310961968680088,0.9290709045272452,2235,0.9993587274181497,0.999394352780465,0.9977576363204638,0.9994002456423298
S1,1,2026,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,1,2026,HIT,0.9821428571428572,0.9732142857142856,0.9857549857549858,0.9732142857142856,0.9788815322982856,0.982905982905983,0.9821428571428572,0.98206524616535,280,1.0,1.0,0.9995982142857143,1.0
S1,1,2026,MaFaulDa,0.8268456375838926,0.8420408163265307,0.7860759837132106,0.8420408163265307,0.7870998913961952,0.8248758317052892,0.8268456375838926,0.8092157423491667,2235,0.9938440964900291,0.9932635336536252,0.9901855939088495,0.9944431545957506
S1,2,42,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,2,42,HIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,1.0,1.0,1.0,1.0
S1,2,42,MaFaulDa,0.8232323232323232,0.8291158760801618,0.8547603331477058,0.8291158760801618,0.7994704820565474,0.8640551788588401,0.8232323232323232,0.795094368857039,1980,0.9873016602114442,0.9878286304900973,0.9850486770057478,0.9872622889728107
S1,2,1337,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,2,1337,HIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,1.0,1.0,1.0,1.0
S1,2,1337,MaFaulDa,0.7540404040404041,0.7909778911564626,0.7481726904523409,0.7909778911564626,0.720580675877142,0.760417282155142,0.7540404040404041,0.7101070897188406,1980,0.9824103610033121,0.9794648069907483,0.9708366634923875,0.9846689639989624
S1,2,2026,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,2,2026,HIT,0.9964285714285714,0.9970238095238096,0.9970501474926252,0.9970238095238096,0.9970237502076068,0.9964601769911504,0.9964285714285714,0.996428500249128,280,1.0,1.0,0.9999936224489796,1.0
S1,2,2026,MaFaulDa,0.7732323232323233,0.8005907142373309,0.7153088245072017,0.8005907142373309,0.7331205099340684,0.7126558577944121,0.7732323232323233,0.7266685521978911,1980,0.9919951158629805,0.9911773654647523,0.9749378181364714,0.9915275212818312
S1,3,42,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,3,42,HIT,0.9464285714285714,0.9523809523809524,0.9606299212598426,0.9523809523809524,0.9538542726827244,0.9527559055118112,0.9464285714285714,0.9464269290210712,280,1.0,1.0,0.9983545918367347,1.0
S1,3,42,MaFaulDa,0.8349753694581281,0.847554844640559,0.8222114263124818,0.847554844640559,0.7921483080005203,0.8689002569584859,0.8349753694581282,0.8188877742536684,2030,0.982675320625205,0.9823180346171596,0.9827433058042876,0.9822645128440395
S1,3,1337,JNU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,1.0
S1,3,1337,HIT,0.95,0.9583333333333334,0.9333333333333332,0.9583333333333334,0.9407407407407408,0.96,0.95,0.9511111111111112,280,0.9970946712018142,0.9965136054421768,0.9952359693877552,0.9958811649659864
S1,3,1337,MaFaulDa,0.8502463054187193,0.8643421952564809,0.8957572296584286,0.8643421952564809,0.8466190083586081,0.8872396232241,0.8502463054187193,0.8335423072399967,2030,0.9902755660083342,0.9896094308340845,0.9840389909431866,0.991026145178915
S1,3,2026,JNU,0.9583333333333334,0.9166666666666666,0.9375,0.9166666666666666,0.9142857142857144,0.96875,0.9583333333333334,0.9571428571428572,24,1.0,1.0,0.9994212962962964,1.0
S1,3,2026,HIT,0.95,0.9583333333333334,0.9629629629629628,0.9583333333333334,0.9581699346405228,0.9555555555555556,0.95,0.9498039215686274,280,0.964436295351474,0.9573235544217688,0.9558482142857143,0.9660594706632653
S1,3,2026,MaFaulDa,0.8921182266009853,0.8978304835447692,0.9151419699440916,0.8978304835447692,0.8829152533351609,0.9050174792574098,0.8921182266009852,0.873187201544831,2030,0.974151333425537,0.9729880594882923,0.9722509645951127,0.9725585213535067
