arm,fold,seed,dataset,numeric_or_original_label,class,precision,recall,f1,support,roc_auc,positive_n,negative_n
S1,1,42,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9423076923076924,1.0,0.9702970297029704,245,1.0,245,1990
S1,1,42,MaFaulDa,underhang/cage_fault,underhang/cage fault,1.0,1.0,1.0,245,1.0,245,1990
S1,1,42,MaFaulDa,underhang/outer_race,underhang/outer race,1.0,1.0,1.0,245,1.0,245,1990
S1,1,42,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,0.9387755102040816,0.968421052631579,245,1.0,245,1990
S1,1,42,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.7190635451505016,0.8775510204081632,0.7904411764705882,245,0.9888206337811507,245,1990
S1,1,42,MaFaulDa,overhang/outer_race,overhang/outer race,0.8429319371727748,0.6571428571428571,0.738532110091743,245,0.9801435750179469,245,1990
S1,1,1337,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S1,1,1337,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,1337,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,1337,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,1337,HIT,0,healthy,0.896,1.0,0.9451476793248946,112,1.0,112,168
S1,1,1337,HIT,1,inner race fault,1.0,0.8928571428571429,0.9433962264150944,112,1.0,112,168
S1,1,1337,HIT,2,outer race fault,1.0,0.9821428571428572,0.9909909909909907,56,1.0,56,224
S1,1,1337,MaFaulDa,normal,normal,0.4415584415584415,0.9714285714285714,0.6071428571428571,35,0.999051948051948,35,2200
S1,1,1337,MaFaulDa,imbalance,imbalance,0.890625,0.9702127659574468,0.9287169042769856,235,0.9981574468085106,235,2000
S1,1,1337,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.5714285714285714,0.7272727272727273,245,0.9986257819710799,245,1990
S1,1,1337,MaFaulDa,vertical-misalignment,vertical-misalignment,0.9090909090909092,1.0,0.9523809523809524,250,0.9999959697732997,250,1985
S1,1,1337,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.953307392996109,1.0,0.9760956175298804,245,1.0,245,1990
S1,1,1337,MaFaulDa,underhang/cage_fault,underhang/cage fault,1.0,1.0,1.0,245,1.0,245,1990
S1,1,1337,MaFaulDa,underhang/outer_race,underhang/outer race,0.9386973180076628,1.0,0.9683794466403164,245,0.9999958978566301,245,1990
S1,1,1337,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,0.9551020408163264,0.977035490605428,245,0.9999343657060814,245,1990
S1,1,1337,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.986425339366516,0.889795918367347,0.9356223175965666,245,0.9990483027381807,245,1990
S1,1,1337,MaFaulDa,overhang/outer_race,overhang/outer race,0.8996282527881041,0.9877551020408164,0.9416342412451362,245,0.9987775612757667,245,1990
S1,1,2026,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S1,1,2026,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,2026,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,2026,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,2026,HIT,0,healthy,1.0,0.9910714285714286,0.9955156950672646,112,1.0,112,168
S1,1,2026,HIT,1,inner race fault,0.9572649572649572,1.0,0.9781659388646288,112,1.0,112,168
S1,1,2026,HIT,2,outer race fault,1.0,0.9285714285714286,0.962962962962963,56,1.0,56,224
S1,1,2026,MaFaulDa,normal,normal,0.3888888888888889,1.0,0.56,35,0.999987012987013,35,2200
S1,1,2026,MaFaulDa,imbalance,imbalance,0.562200956937799,1.0,0.7197549770290965,235,0.9976765957446809,235,2000
S1,1,2026,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.25,0.0816326530612244,0.123076923076923,245,0.9581642908419649,245,1990
S1,1,2026,MaFaulDa,vertical-misalignment,vertical-misalignment,1.0,1.0,1.0,250,1.0,250,1985
S1,1,2026,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.8118081180811808,0.8979591836734694,0.8527131782945736,245,0.9937052609988719,245,1990
S1,1,2026,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.9386973180076628,1.0,0.9683794466403164,245,1.0,245,1990
S1,1,2026,MaFaulDa,underhang/outer_race,underhang/outer race,1.0,0.7551020408163265,0.8604651162790697,245,0.9908932417187981,245,1990
S1,1,2026,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,0.8081632653061225,0.8939051918735892,245,0.9999302635627115,245,1990
S1,1,2026,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.96137339055794,0.9142857142857144,0.9372384937238494,245,0.999083170956825,245,1990
S1,1,2026,MaFaulDa,overhang/outer_race,overhang/outer race,0.9477911646586346,0.963265306122449,0.9554655870445344,245,0.9990011280894268,245,1990
S1,2,42,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S1,2,42,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,42,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,42,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S1,2,42,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S1,2,42,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S1,2,42,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S1,2,42,MaFaulDa,normal,normal,0.6521739130434783,0.8571428571428571,0.7407407407407407,35,0.9876753580609622,35,1945
S1,2,42,MaFaulDa,imbalance,imbalance,0.8619402985074627,0.9428571428571428,0.9005847953216374,245,0.9966876433570546,245,1735
S1,2,42,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.2122448979591836,0.3501683501683502,245,0.9967817443980473,245,1735
S1,2,42,MaFaulDa,vertical-misalignment,vertical-misalignment,0.6188118811881188,1.0,0.7645259938837919,250,0.9999098265895954,250,1730
S1,2,42,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9595959595959596,1.0,0.979381443298969,190,0.9999676565715966,190,1790
S1,2,42,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.6519174041297935,0.9208333333333332,0.763385146804836,240,0.9625778256704981,240,1740
S1,2,42,MaFaulDa,underhang/outer_race,underhang/outer race,0.8072289156626506,0.3621621621621622,0.5,185,0.9294165474666869,185,1795
